index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
BTree,1024,2330,420,573.277,1.74436e+06,544467208,873190,BinarySearch,./data/fb_200M_uint64
BTree,4096,1920,370,572.563,1.74653e+06,541731352,221240,BinarySearch,./data/fb_200M_uint64
BTree,16384,2840,460,571.129,1.75092e+06,541000128,58829,BinarySearch,./data/fb_200M_uint64
BTree,65536,2410,360,571.806,1.74885e+06,540990376,19350,BinarySearch,./data/fb_200M_uint64
BTree,262144,4040,340,564.664,1.77096e+06,540941896,10190,BinarySearch,./data/fb_200M_uint64
DynamicPGM,16,1.13791e+06,2680,405.92,2.46354e+06,3486641960,82405360155,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4,21991,1400,436.766,2.28956e+06,3591957896,86410113635,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8,14290,660,412.149,2.42631e+06,3522272408,81426060557,BinarySearch,./data/fb_200M_uint64
DynamicPGM,32,14610,1930,380.13,2.63068e+06,3468823336,74677171478,BinarySearch,./data/fb_200M_uint64
DynamicPGM,64,13110,1360,366.769,2.72651e+06,3459997400,72743821803,BinarySearch,./data/fb_200M_uint64
DynamicPGM,256,1.4003e+06,2620,351.057,2.84854e+06,3453407344,68202195010,BinarySearch,./data/fb_200M_uint64
DynamicPGM,1024,13720,1229,335.213,2.98318e+06,3451772608,61757454736,BinarySearch,./data/fb_200M_uint64
DynamicPGM,2048,13000,1450,321.649,3.10898e+06,3451570024,58137075238,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4096,12730,1.15125e+06,317.868,3.14539e+06,3451502584,55006991919,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8192,12660,1360,317.275,3.15184e+06,3451482896,52768893710,BinarySearch,./data/fb_200M_uint64
