index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
BTree,1,1530.96,958.756,1.04302e+06,3712500896,3537990410,BinarySearch,./data/fb_200M_uint64
BTree,4,1270.85,782.028,1.27873e+06,928126304,844270499,BinarySearch,./data/fb_200M_uint64
BTree,16,1205.56,597.755,1.67293e+06,232032112,171382113,BinarySearch,./data/fb_200M_uint64
BTree,64,1094.12,378.412,2.64262e+06,58008568,25543334,BinarySearch,./data/fb_200M_uint64
BTree,128,1082.52,303.834,3.29127e+06,29004872,13429256,BinarySearch,./data/fb_200M_uint64
BTree,512,1017.37,150.657,6.63758e+06,7251896,3297081,BinarySearch,./data/fb_200M_uint64
BTree,1024,1052.43,111.993,8.92916e+06,3626672,1514453,BinarySearch,./data/fb_200M_uint64
BTree,4096,1165.15,78.23,1.27828e+07,906864,378235,BinarySearch,./data/fb_200M_uint64
BTree,16384,1337.49,55.9117,1.78854e+07,227048,107493,BinarySearch,./data/fb_200M_uint64
BTree,65536,1586.72,44.711,2.23659e+07,57096,35080,BinarySearch,./data/fb_200M_uint64
BTree,262144,1696.49,31.2622,3.19875e+07,14608,13479,BinarySearch,./data/fb_200M_uint64
DynamicPGM,16,1616.93,1295.57,771861,3234936760,122167236830,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4,1860.71,1362.41,733996,3338218760,135946054421,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8,1737.43,1224.66,816555,3270081992,127258513251,BinarySearch,./data/fb_200M_uint64
DynamicPGM,32,1751.6,1301.85,768141,3217268808,118107926638,BinarySearch,./data/fb_200M_uint64
DynamicPGM,64,1651.78,1174.53,851408,3208492360,129234171746,BinarySearch,./data/fb_200M_uint64
DynamicPGM,256,1713.94,1263.5,791454,3201926952,107161393874,BinarySearch,./data/fb_200M_uint64
DynamicPGM,1024,1857.94,1395.14,716773,3200297392,97244407696,BinarySearch,./data/fb_200M_uint64
DynamicPGM,2048,2137.05,1480.34,675520,3200095472,92695660791,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4096,2223.27,1663.43,601168,3200028168,89668318795,BinarySearch,./data/fb_200M_uint64
