index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,1264.42,913.191,421.875,2.12311e+06,5133529736,171879341429,BinarySearch,./data/fb_200M_uint64
ALEX,4,948.693,682.149,373.382,2.47367e+06,1666605360,40257957572,BinarySearch,./data/fb_200M_uint64
ALEX,8,1025.68,648.78,375.939,2.48002e+06,1024293704,22382055848,BinarySearch,./data/fb_200M_uint64
BTree,32,888.843,339.182,668.017,1.57447e+06,602696792,77393462,BinarySearch,./data/fb_200M_uint64
BTree,1,1125.47,859.18,664.155,1.46272e+06,4199556448,3031950110,BinarySearch,./data/fb_200M_uint64
BTree,4,945.157,550.852,615.562,1.64179e+06,1414830896,469038217,BinarySearch,./data/fb_200M_uint64
BTree,16,890.14,370.555,585.029,1.77436e+06,718728064,100896538,BinarySearch,./data/fb_200M_uint64
BTree,64,868.518,253.013,617.528,1.72094e+06,544683800,19579218,BinarySearch,./data/fb_200M_uint64
BTree,128,902.766,192.171,629.767,1.70646e+06,515674584,10427079,BinarySearch,./data/fb_200M_uint64
BTree,512,968.402,90.8113,636.243,1.7191e+06,493921272,1907630,BinarySearch,./data/fb_200M_uint64
BTree,1024,1011.66,71.6464,628.974,1.74447e+06,490288152,897110,BinarySearch,./data/fb_200M_uint64
BTree,4096,1138.91,48.9305,620.582,1.77489e+06,487569976,222290,BinarySearch,./data/fb_200M_uint64
BTree,16384,1449.02,37.5969,616.652,1.78972e+06,486940480,59220,BinarySearch,./data/fb_200M_uint64
BTree,65536,2029.85,26.9177,630.879,1.7529e+06,486804520,21110,BinarySearch,./data/fb_200M_uint64
BTree,262144,2508.16,21.3926,615.078,1.7995e+06,486764744,36500,BinarySearch,./data/fb_200M_uint64
DynamicPGM,16,1465.35,926.491,397.553,2.22002e+06,3470436408,79597638671,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4,1724.07,1075.65,437.078,1.99626e+06,3575664920,96053641802,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8,1549.36,1008.27,424.061,2.07261e+06,3506047608,82862645855,BinarySearch,./data/fb_200M_uint64
DynamicPGM,32,1416.77,942.152,385.238,2.26794e+06,3452623016,75963763759,BinarySearch,./data/fb_200M_uint64
DynamicPGM,64,1510.89,1009.13,382.05,2.24842e+06,3443798360,74264476220,BinarySearch,./data/fb_200M_uint64
DynamicPGM,256,1578.1,1066.12,366.135,2.29287e+06,3437208392,69515307444,BinarySearch,./data/fb_200M_uint64
DynamicPGM,1024,1626.81,1137.66,339.151,2.38663e+06,3435573792,63066146686,BinarySearch,./data/fb_200M_uint64
DynamicPGM,2048,1689.32,1198.29,339.86,2.34905e+06,3435371208,59337746624,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4096,1799.72,1346.04,328.365,2.32487e+06,3435303768,65813882108,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8192,1993.11,1476.06,331.023,2.24453e+06,3435284064,54900903561,BinarySearch,./data/fb_200M_uint64
ALEX,1,734,299.542,797.06,1.33814e+06,4860120176,78848678199,BinarySearch,./data/books_200M_uint64
ALEX,4,629.071,200.203,614.653,1.74457e+06,1704662256,16521742697,BinarySearch,./data/books_200M_uint64
ALEX,8,585.503,141.505,519.605,2.07557e+06,1006466536,7040702870,BinarySearch,./data/books_200M_uint64
ALEX,16,560.983,116.162,474.754,2.27845e+06,731395360,2918751795,BinarySearch,./data/books_200M_uint64
ALEX,32,665.39,103.983,444.994,2.43372e+06,576144632,1290419189,BinarySearch,./data/books_200M_uint64
ALEX,64,677.833,92.66,415.886,2.60713e+06,485711240,598771184,BinarySearch,./data/books_200M_uint64
ALEX,128,695.562,84.2899,403.67,2.69011e+06,452949824,282235005,BinarySearch,./data/books_200M_uint64
ALEX,256,706.381,74.6675,394.728,2.75694e+06,437837216,124171529,BinarySearch,./data/books_200M_uint64
ALEX,512,757.886,55.4246,395.333,2.76746e+06,425088760,60654466,BinarySearch,./data/books_200M_uint64
ALEX,1024,813.493,40.3772,381.001,2.88236e+06,428447016,28529405,BinarySearch,./data/books_200M_uint64
ALEX,2048,865.49,35.7563,438.147,2.51315e+06,420883600,12780330,BinarySearch,./data/books_200M_uint64
ALEX,4096,954.334,32.3055,376.088,2.92646e+06,418670464,6535098,BinarySearch,./data/books_200M_uint64
ALEX,8192,1031.81,31.734,374.843,2.93658e+06,426419272,3083974,BinarySearch,./data/books_200M_uint64
BTree,32,664.386,249.387,592.817,1.79059e+06,660602000,51673447,BinarySearch,./data/books_200M_uint64
BTree,1,847.65,644.397,1013.2,1.02425e+06,5940416120,1542980410,BinarySearch,./data/books_200M_uint64
BTree,4,797.523,485.324,818.346,1.27381e+06,2021986728,300462972,BinarySearch,./data/books_200M_uint64
BTree,16,676.424,332.264,643.838,1.63217e+06,806366824,57294847,BinarySearch,./data/books_200M_uint64
BTree,64,721.226,240.412,589.195,1.80402e+06,566938824,16391479,BinarySearch,./data/books_200M_uint64
BTree,128,884.584,183.52,624.81,1.72212e+06,528830704,8002539,BinarySearch,./data/books_200M_uint64
BTree,512,1037.71,87.7415,604.789,1.80804e+06,497091496,1490670,BinarySearch,./data/books_200M_uint64
BTree,1024,1085.73,69.9325,611.466,1.79432e+06,491611064,802650,BinarySearch,./data/books_200M_uint64
BTree,4096,1276.49,46.32,601.179,1.83253e+06,487762056,313520,BinarySearch,./data/books_200M_uint64
BTree,16384,1549.34,35.3697,589.997,1.87079e+06,486685160,52410,BinarySearch,./data/books_200M_uint64
BTree,65536,1951.59,26.3652,643.246,1.71952e+06,486787776,27080,BinarySearch,./data/books_200M_uint64
BTree,262144,2105.35,20.5795,594.336,1.86234e+06,486700912,14940,BinarySearch,./data/books_200M_uint64
DynamicPGM,16,1062.21,675.859,367.664,2.50951e+06,3447751296,61719388560,BinarySearch,./data/books_200M_uint64
DynamicPGM,4,1239.95,772.556,421.699,2.18922e+06,3551087408,81244592918,BinarySearch,./data/books_200M_uint64
DynamicPGM,8,1153.28,757.169,399.634,2.2968e+06,3471928768,69583460973,BinarySearch,./data/books_200M_uint64
DynamicPGM,32,1317.03,855.898,354.961,2.4688e+06,3439528848,59002902608,BinarySearch,./data/books_200M_uint64
DynamicPGM,64,1353.52,879.673,337.532,2.55267e+06,3436579024,55542111048,BinarySearch,./data/books_200M_uint64
DynamicPGM,256,1382.29,984.113,314.292,2.62278e+06,3435373728,52441307238,BinarySearch,./data/books_200M_uint64
DynamicPGM,1024,1612.17,1175.61,295.956,2.6047e+06,3435284216,50665465129,BinarySearch,./data/books_200M_uint64
DynamicPGM,2048,1542.28,1093.51,293.058,2.68022e+06,3435280056,49677504428,BinarySearch,./data/books_200M_uint64
DynamicPGM,4096,1639.83,1287.89,300.117,2.50693e+06,3435278552,49499373008,BinarySearch,./data/books_200M_uint64
DynamicPGM,8192,1678.4,1278.42,300.083,2.51309e+06,3435277896,50442775617,BinarySearch,./data/books_200M_uint64
